Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","524 (126)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5.1,g,38
"proteina, total",18.4,g,38
agua (humedad),74,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,1.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.1,g,38
"ácidos grasos, poliinsaturados totales",0.6,g,38
ácidos grasos saturados totales,1.9,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,68,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,38
"folato, total",traza,ug,38
"equivalentes de niacina, totales",7.283,mg,38
riboflavina,0.25,mg,38
tiamina,0.52,mg,38
Vitamina B-12,traza,ug,38
"Vitamina B-6, Total",0.22,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,9,mg,38
"hierro, total",1.2,mg,38
potasio,280,mg,38
magnesio,18,mg,38
sodio,1250,mg,38
fósforo,280,mg,38
ioduro,11,ug,38
"selenio, total",8,ug,38
zinc (cinc),2.3,mg,38
