Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1394 (335)
							",kJ (kcal),236
"grasa, total (lipidos totales)",22.2,g,278
"proteina, total",33.2,g,278
agua (humedad),38.5,g,278
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0.5,g,278
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",13.08,g,278
"ácidos grasos, poliinsaturados totales",1.54,g,278
ácidos grasos saturados totales,6.53,g,278
ácido graso 12:0 (láurico),0.013,g,326
ácido graso 14:0 (ácido mirístico),0.2,g,278
ácido graso 16:0 (ácido palmítico),4.29,g,278
ácido graso 18:0 (ácido esteárico),2.04,g,278
ácido graso 18:1 n-9 cis (ácido oléico),12.46,g,278
colesterol,69,mg,32
ácido graso 18:2,0.657,g,326
ácido graso 18:3,0.084,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.053,g,326
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,278
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,38
"folato, total",traza,ug,278
"equivalentes de niacina, totales",0.84,mg,278
riboflavina,0.11,mg,278
tiamina,0.4,mg,278
Vitamina B-12,15.7,ug,38
"Vitamina B-6, Total",0.14,mg,278
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,6.8,mg,278
"hierro, total",3.6,mg,278
potasio,655,mg,278
magnesio,37.6,mg,278
sodio,1935,mg,278
fósforo,191,mg,278
ioduro,10,ug,278
"selenio, total",12.1,ug,327
zinc (cinc),3.5,mg,278
