Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","1351 (324)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.5,g,281
"proteina, total",21.4,g,281
agua (humedad),1,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",21.3,g,281
carbohidratos,54.8,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.08,g,281
"ácidos grasos, poliinsaturados totales",0.82,g,281
ácidos grasos saturados totales,0.21,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,281
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2,mg,281
"folato, total",316,ug,281
"equivalentes de niacina, totales",2.4,mg,281
riboflavina,0.17,mg,281
tiamina,0.5,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.42,mg,281
Vitamina C (ácido ascórbico),3.4,mg,281
Minerales,,,
calcio,126,mg,281
"hierro, total",6.2,mg,281
potasio,1160,mg,281
magnesio,163,mg,281
sodio,40,mg,281
fósforo,400,mg,281
ioduro,1.6,ug,281
"selenio, total",0,ug,281
zinc (cinc),3.5,mg,281
