Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","348 (84)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.79,g,281
"proteina, total",1.78,g,281
agua (humedad),85.24,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",2.25,g,281
carbohidratos,3.94,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.98,g,281
"ácidos grasos, poliinsaturados totales",0.85,g,281
ácidos grasos saturados totales,0.86,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,46,ug,310
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.58,mg,281
"folato, total",58.41,ug,281
"equivalentes de niacina, totales",1.31,mg,281
riboflavina,0.09,mg,281
tiamina,0.06,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.21,mg,281
Vitamina C (ácido ascórbico),21.94,mg,281
Minerales,,,
calcio,48.47,mg,281
"hierro, total",0.94,mg,281
potasio,243.75,mg,281
magnesio,20.81,mg,281
sodio,1.88,mg,281
fósforo,41.25,mg,281
ioduro,3.75,ug,281
"selenio, total",traza,ug,281
zinc (cinc),0.22,mg,281
