Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","267 (64)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.5,g,7
"proteina, total",3.3,g,7
agua (humedad),88.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,327
carbohidratos,4.8,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1,g,327
"ácidos grasos, poliinsaturados totales",0.1,g,327
ácidos grasos saturados totales,2.3,g,327
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,14,mg,327
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,30.6,ug,327
Vitamina D,0.101,ug,327
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.092,mg,327
"folato, total",21,ug,327
"equivalentes de niacina, totales",0.087,mg,327
riboflavina,0.203,mg,327
tiamina,0.045,mg,327
Vitamina B-12,0.18,ug,327
"Vitamina B-6, Total",0.038,mg,327
Vitamina C (ácido ascórbico),0.3,mg,327
Minerales,,,
calcio,127,mg,327
"hierro, total",0.13,mg,7
potasio,160,mg,7
magnesio,14,mg,7
sodio,46,mg,7
fósforo,90,mg,7
ioduro,24.3,ug,327
"selenio, total",1.3,ug,327
zinc (cinc),0.44,mg,327
