Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","468 (112)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.8,g,38
"proteina, total",24.3,g,38
agua (humedad),73.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,1.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,38
"ácidos grasos, poliinsaturados totales",0.2,g,38
ácidos grasos saturados totales,0.2,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,185,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,18,ug,7
Vitamina D,18,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.5,mg,38
"folato, total",2,ug,32
"equivalentes de niacina, totales",3.2,mg,38
riboflavina,0.02,mg,38
tiamina,0.02,mg,38
Vitamina B-12,1.9,ug,38
"Vitamina B-6, Total",0.06,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,115,mg,38
"hierro, total",3.3,mg,38
potasio,221,mg,38
magnesio,69,mg,38
sodio,305,mg,38
fósforo,215,mg,38
ioduro,90,ug,38
"selenio, total",24.3,ug,38
zinc (cinc),1.1,mg,38
