Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1399 (336)
							",kJ (kcal),236
"grasa, total (lipidos totales)",9.2455,g,179
"proteina, total",8.5095,g,179
agua (humedad),25.3015,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,53.65,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.4153,g,149
"ácidos grasos, poliinsaturados totales",0.231,g,149
ácidos grasos saturados totales,6.0907,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,30,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,97.5,ug,61
Vitamina D,0.1,ug,179
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.185,mg,179
"folato, total",8,ug,179
"equivalentes de niacina, totales",0.22,mg,149
riboflavina,0.465,mg,179
tiamina,0.085,mg,179
Vitamina B-12,0.505,ug,179
"Vitamina B-6, Total",0.06,mg,179
Vitamina C (ácido ascórbico),1.5,mg,179
Minerales,,,
calcio,289,mg,179
"hierro, total",0.1625,mg,179
potasio,370,mg,179
magnesio,28.35,mg,179
sodio,124.5,mg,179
fósforo,232.5,mg,179
ioduro,160,ug,32
"selenio, total",3,ug,32
zinc (cinc),0.536,mg,179
