Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","415 (100)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.3492,g,61
"proteina, total",5.6,g,149
agua (humedad),82.1,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,5,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.6,g,149
"ácidos grasos, poliinsaturados totales",0.3,g,149
ácidos grasos saturados totales,4.1,g,149
ácido graso 12:0 (láurico),0.259,g,310
ácido graso 14:0 (ácido mirístico),0.673,g,310
ácido graso 16:0 (ácido palmítico),1.523,g,310
ácido graso 18:0 (ácido esteárico),0.59,g,310
ácido graso 18:1 n-9 cis (ácido oléico),1.02,g,310
colesterol,11,mg,149
ácido graso 18:2,0.13,g,310
ácido graso 18:3,0.068,g,310
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,45.8333,ug,61
Vitamina D,0.18,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.11,mg,149
"folato, total",5,ug,149
"equivalentes de niacina, totales",1.7,mg,29
riboflavina,0.23,mg,149
tiamina,0.05,mg,149
Vitamina B-12,0.5,ug,149
"Vitamina B-6, Total",0.08,mg,149
Vitamina C (ácido ascórbico),4,mg,149
Minerales,,,
calcio,183,mg,149
"hierro, total",0.1,mg,149
potasio,146,mg,149
magnesio,16,mg,149
sodio,40,mg,149
fósforo,141,mg,149
ioduro,5,ug,38
"selenio, total",1.7,ug,30
zinc (cinc),0.5,mg,180
