Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","192 (46)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.6,g,149
"proteina, total",3.2,g,149
agua (humedad),89.6,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,149
carbohidratos,4.6,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.48,g,149
"ácidos grasos, poliinsaturados totales",0.05,g,149
ácidos grasos saturados totales,0.95,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,5,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,20.5,ug,61
Vitamina D,0.01,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.08,mg,180
"folato, total",5,ug,149
"equivalentes de niacina, totales",0.1,mg,180
riboflavina,0.17,mg,149
tiamina,0.05,mg,149
Vitamina B-12,0.4,ug,149
"Vitamina B-6, Total",0.03,mg,149
Vitamina C (ácido ascórbico),3,mg,149
Minerales,,,
calcio,114,mg,149
"hierro, total",0.04,mg,149
potasio,166,mg,149
magnesio,10,mg,149
sodio,46,mg,149
fósforo,85,mg,149
ioduro,8.6,ug,38
"selenio, total",1.5,ug,38
zinc (cinc),0.4,mg,180
