Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,282
"energía, total","2097 (503)
							",kJ (kcal),236
"grasa, total (lipidos totales)",53,g,282
"proteina, total",0,g,282
agua (humedad),0,mg,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,8,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5,g,282
"ácidos grasos, poliinsaturados totales",35,g,282
ácidos grasos saturados totales,13,g,282
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,8.18,mg,30
"folato, total",0,ug,30
"equivalentes de niacina, totales",0,mg,30
riboflavina,0,mg,30
tiamina,0,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,0,mg,30
"hierro, total",0,mg,30
potasio,1.2,mg,282
magnesio,0,mg,30
sodio,0,mg,30
fósforo,3.1,mg,282
ioduro,0,ug,310
"selenio, total",0,ug,30
zinc (cinc),0,mg,30
