Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","912 (219)
							",kJ (kcal),236
"grasa, total (lipidos totales)",16.1,g,30
"proteina, total",14.9,g,30
agua (humedad),65.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,3.7,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.2,g,30
"ácidos grasos, poliinsaturados totales",0.9,g,30
ácidos grasos saturados totales,7,g,30
ácido graso 12:0 (láurico),0.018,g,326
ácido graso 14:0 (ácido mirístico),0.534,g,326
ácido graso 16:0 (ácido palmítico),3.327,g,326
ácido graso 18:0 (ácido esteárico),1.801,g,326
ácido graso 18:1 n-9 cis (ácido oléico),4.064,g,326
colesterol,87,mg,30
ácido graso 18:2,0.404,g,326
ácido graso 18:3,0.042,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.054,g,326
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,7
Vitamina D,1.7,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.67,mg,7
"folato, total",7,ug,7
"equivalentes de niacina, totales",14.7,mg,7
riboflavina,0.38,mg,156
tiamina,0.3,mg,7
Vitamina B-12,3.79,ug,30
"Vitamina B-6, Total",0.71,mg,7
Vitamina C (ácido ascórbico),3.1,mg,30
Minerales,,,
calcio,7,mg,7
"hierro, total",2.8,mg,38
potasio,315,mg,30
magnesio,17.1,mg,7
sodio,69,mg,30
fósforo,133,mg,30
ioduro,14,ug,7
"selenio, total",9.4,ug,30
zinc (cinc),3.2,mg,38
