Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","329 (79)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.3,g,258
"proteina, total",16.5,g,258
agua (humedad),82.2,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.542,g,310
"ácidos grasos, monoinsaturados totales",0.27,g,258
"ácidos grasos, poliinsaturados totales",0.43,g,258
ácidos grasos saturados totales,0.18,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.18,g,310
ácido graso 16:0 (ácido palmítico),0.54,g,310
ácido graso 18:0 (ácido esteárico),0.13,g,310
ácido graso 18:1 n-9 cis (ácido oléico),0.37,g,310
colesterol,60,mg,258
ácido graso 18:2,0.15,g,310
ácido graso 18:3,0.02,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0.07,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0.193,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.1,mg,258
"folato, total",11,ug,32
"equivalentes de niacina, totales",5.5,mg,258
riboflavina,0.12,mg,258
tiamina,0.1,mg,258
Vitamina B-12,1,ug,258
"Vitamina B-6, Total",0.43,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,30,mg,258
"hierro, total",0.7,mg,258
potasio,230,mg,258
magnesio,29,mg,258
sodio,100,mg,258
fósforo,260,mg,258
ioduro,30,ug,258
"selenio, total",44,ug,258
zinc (cinc),0.4,mg,258
