Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","1386 (333)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.7,g,281
"proteina, total",23,g,281
agua (humedad),9.3,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",11.2,g,281
carbohidratos,54.8,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,281
"ácidos grasos, poliinsaturados totales",0.84,g,281
ácidos grasos saturados totales,0.23,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,traza,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,5,ug,280
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.8,mg,281
"folato, total",34.2,ug,281
"equivalentes de niacina, totales",3,mg,281
riboflavina,0.22,mg,281
tiamina,0.47,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.7,mg,281
Vitamina C (ácido ascórbico),3.4,mg,281
Minerales,,,
calcio,70,mg,281
"hierro, total",8.2,mg,281
potasio,670,mg,281
magnesio,74.8,mg,281
sodio,36,mg,281
fósforo,240,mg,281
ioduro,1.5,ug,281
"selenio, total",traza,ug,281
zinc (cinc),3.7,mg,281
