Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),18,g,280
"energía, total","1036 (249)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.21,g,7
agua (humedad),69.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,30,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,280
"ácidos grasos, poliinsaturados totales",0,g,280
ácidos grasos saturados totales,0,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1.02,ug,7
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.06,mg,7
"folato, total",5.15,ug,7
"equivalentes de niacina, totales",0.11,mg,7
riboflavina,0.01,mg,7
tiamina,0.03,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.02,mg,7
Vitamina C (ácido ascórbico),12.65,mg,7
Minerales,,,
calcio,5.6,mg,7
"hierro, total",0.09,mg,7
potasio,53,mg,7
magnesio,4.08,mg,7
sodio,11.2,mg,7
fósforo,6.45,mg,7
ioduro,0,ug,280
"selenio, total",0,ug,280
zinc (cinc),0.05,mg,7
