Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),12,g,280
"energía, total","1349 (324)
							",kJ (kcal),236
"grasa, total (lipidos totales)",14.8,g,280
"proteina, total",0,g,280
agua (humedad),52.3,g,280
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,282
carbohidratos,20.9,g,280
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.8,g,327
"ácidos grasos, poliinsaturados totales",0.6,g,327
ácidos grasos saturados totales,8,g,282
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0.04,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,180.7,ug,280
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,280
"folato, total",2,ug,327
"equivalentes de niacina, totales",0.75,mg,327
riboflavina,0.06,mg,327
tiamina,0.01,mg,327
Vitamina B-12,0.08,ug,327
"Vitamina B-6, Total",0.01,mg,327
Vitamina C (ácido ascórbico),0.2,mg,327
Minerales,,,
calcio,16.5,mg,280
"hierro, total",traza,mg,280
potasio,17.4,mg,280
magnesio,1.8,mg,280
sodio,80,mg,282
fósforo,34.9,mg,280
ioduro,traza,ug,280
"selenio, total",0,ug,280
zinc (cinc),0.2,mg,280
