Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","804 (193)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8,g,29
"proteina, total",29.9,g,29
agua (humedad),62.1,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,29
carbohidratos,0,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.82,g,38
"ácidos grasos, poliinsaturados totales",0.58,g,38
ácidos grasos saturados totales,0.9,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,65,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.27,mg,38
"folato, total",5,ug,38
"equivalentes de niacina, totales",10.5,mg,38
riboflavina,0.06,mg,7
tiamina,0.09,mg,7
Vitamina B-12,1,ug,7
"Vitamina B-6, Total",0.3,mg,38
Vitamina C (ácido ascórbico),0,mg,29
Minerales,,,
calcio,9.05,mg,7
"hierro, total",2.4,mg,7
potasio,360,mg,32
magnesio,24,mg,38
sodio,50,mg,7
fósforo,220,mg,7
ioduro,2,ug,38
"selenio, total",17,ug,38
zinc (cinc),2.2,mg,38
