Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","398 (95)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.8714,g,61
"proteina, total",21.5,g,149
agua (humedad),76.5,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.2,g,149
"ácidos grasos, poliinsaturados totales",0.26,g,149
ácidos grasos saturados totales,0.15,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,58,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,8.0017,ug,61
Vitamina D,0.01,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.11,mg,149
"folato, total",2.9,ug,180
"equivalentes de niacina, totales",2.3,mg,149
riboflavina,0.07,mg,149
tiamina,0.07,mg,149
Vitamina B-12,0.1,ug,180
"Vitamina B-6, Total",0.15,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,46,mg,149
"hierro, total",0.9,mg,149
potasio,290,mg,149
magnesio,25,mg,149
sodio,56,mg,149
fósforo,282,mg,149
ioduro,8,ug,327
"selenio, total",5.42,ug,327
zinc (cinc),0.1,mg,180
