Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","534 (128)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.8,g,32
"proteina, total",15.8,g,32
agua (humedad),76.6,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0.8,g,32
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.1,g,297
"ácidos grasos, monoinsaturados totales",1.4,g,32
"ácidos grasos, poliinsaturados totales",2.4,g,32
ácidos grasos saturados totales,2.3,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.051,g,297
ácido graso 16:0 (ácido palmítico),0.389,g,297
ácido graso 18:0 (ácido esteárico),0.13,g,297
ácido graso 18:1 n-9 cis (ácido oléico),0.24,g,297
colesterol,34,mg,32
ácido graso 18:2,0.019,g,297
ácido graso 18:3,0.007,g,297
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),0.118,g,297
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,27,ug,32
Vitamina D,traza,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,30
"folato, total",9,ug,30
"equivalentes de niacina, totales",5.7,mg,32
riboflavina,0.21,mg,32
tiamina,0.08,mg,32
Vitamina B-12,0.22,ug,30
"Vitamina B-6, Total",0.42,mg,30
Vitamina C (ácido ascórbico),1.2,mg,30
Minerales,,,
calcio,38,mg,32
"hierro, total",1.2,mg,32
potasio,290,mg,7
magnesio,26,mg,32
sodio,80,mg,7
fósforo,217,mg,7
ioduro,330,ug,7
"selenio, total",36.5,ug,30
zinc (cinc),0.8,mg,32
