Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1632 (392)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.92,g,30
"proteina, total",8.4,g,30
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",2.7,g,30
carbohidratos,85.6,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.24,g,30
"ácidos grasos, poliinsaturados totales",0.42,g,30
ácidos grasos saturados totales,0.13,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,25,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,149
"folato, total",30,ug,149
"equivalentes de niacina, totales",1.6,mg,149
riboflavina,0.08,mg,149
tiamina,0.13,mg,149
Vitamina B-12,0,ug,310
"Vitamina B-6, Total",0.2,mg,149
Vitamina C (ácido ascórbico),6,mg,149
Minerales,,,
calcio,15,mg,7
"hierro, total",0.7,mg,61
potasio,330,mg,7
magnesio,30,mg,61
sodio,6,mg,7
fósforo,256,mg,7
ioduro,2,ug,7
"selenio, total",0.8,ug,30
zinc (cinc),0.3,mg,61
