Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1611 (387)
							",kJ (kcal),236
"grasa, total (lipidos totales)",22.4,g,61
"proteina, total",6.1,g,61
agua (humedad),28,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",1,g,61
carbohidratos,39.9,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.1,g,61
"ácidos grasos, poliinsaturados totales",0.9,g,61
ácidos grasos saturados totales,12.4,g,61
ácido graso 12:0 (láurico),traza,g,326
ácido graso 14:0 (ácido mirístico),0.018,g,326
ácido graso 16:0 (ácido palmítico),2.354,g,326
ácido graso 18:0 (ácido esteárico),0.922,g,326
ácido graso 18:1 n-9 cis (ácido oléico),4.268,g,326
colesterol,203,mg,61
ácido graso 18:2,11.381,g,326
ácido graso 18:3,1.338,g,326
ácido graso 20:4 n-6  (ácido araquidónico),traza,g,326
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,233,ug,61
Vitamina D,0.8,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,61
"folato, total",7,ug,61
"equivalentes de niacina, totales",0.5,mg,61
riboflavina,0.1,mg,61
tiamina,0.05,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,25,mg,61
"hierro, total",1.1,mg,61
potasio,88,mg,61
magnesio,9,mg,61
sodio,211,mg,61
fósforo,231,mg,61
ioduro,16.3,ug,280
"selenio, total",9.3,ug,280
zinc (cinc),0.3,mg,61
