Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","2095 (503)
							",kJ (kcal),236
"grasa, total (lipidos totales)",55.1,g,30
"proteina, total",3.3,g,30
agua (humedad),42.1,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,0,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",15.927,g,30
"ácidos grasos, poliinsaturados totales",2.046,g,30
ácidos grasos saturados totales,34.321,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,106,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,509.4,ug,30
Vitamina D,12,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.58,mg,30
"folato, total",1,ug,30
"equivalentes de niacina, totales",0.02,mg,30
riboflavina,0.07,mg,30
tiamina,0.01,mg,30
Vitamina B-12,0.13,ug,30
"Vitamina B-6, Total",0.01,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,48,mg,30
"hierro, total",1.09,mg,30
potasio,71,mg,30
magnesio,5,mg,30
sodio,450,mg,30
fósforo,34,mg,30
ioduro,,ug,30
"selenio, total",1,ug,30
zinc (cinc),0.26,mg,30
