Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","3054 (733)
							",kJ (kcal),236
"grasa, total (lipidos totales)",82,g,31
"proteina, total",0.7,g,31
agua (humedad),16.9,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,31
carbohidratos,0.5,g,31
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.008,g,310
"ácidos grasos, monoinsaturados totales",21.64,g,310
"ácidos grasos, poliinsaturados totales",3.28,g,310
ácidos grasos saturados totales,55.13,g,310
ácido graso 12:0 (láurico),2.59,g,310
ácido graso 14:0 (ácido mirístico),8.74,g,310
ácido graso 16:0 (ácido palmítico),24.04,g,310
ácido graso 18:0 (ácido esteárico),7.09,g,310
ácido graso 18:1 n-9 cis (ácido oléico),15.35,g,310
colesterol,178,mg,280
ácido graso 18:2,1.29,g,310
ácido graso 18:3,0.36,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0.02,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0.03,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,783,ug,7
Vitamina D,0.76,ug,31
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2,mg,31
"folato, total",0,ug,149
"equivalentes de niacina, totales",0,mg,31
riboflavina,0.02,mg,31
tiamina,traza,mg,31
Vitamina B-12,0,ug,31
"Vitamina B-6, Total",0.01,mg,149
Vitamina C (ácido ascórbico),0,mg,31
Minerales,,,
calcio,15,mg,31
"hierro, total",0.2,mg,31
potasio,15,mg,31
magnesio,2,mg,31
sodio,870,mg,31
fósforo,24,mg,31
ioduro,4,ug,280
"selenio, total",0.5,ug,280
zinc (cinc),0.1,mg,280
