Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","209 (50)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,258
"proteina, total",0.3,g,258
agua (humedad),85.7,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",2,g,258
carbohidratos,12,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.15,g,38
"ácidos grasos, poliinsaturados totales",0.11,g,38
ácidos grasos saturados totales,0.2,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,310
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,4,ug,310
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.53,mg,7
"folato, total",1,ug,7
"equivalentes de niacina, totales",0.2,mg,7
riboflavina,0.04,mg,258
tiamina,0.03,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.04,mg,7
Vitamina C (ácido ascórbico),3,mg,7
Minerales,,,
calcio,6,mg,258
"hierro, total",0.4,mg,258
potasio,99,mg,7
magnesio,5,mg,258
sodio,2,mg,258
fósforo,9,mg,7
ioduro,traza,ug,258
"selenio, total",traza,ug,258
zinc (cinc),0.1,mg,258
