Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","3270 (785)
							",kJ (kcal),236
"grasa, total (lipidos totales)",87.3807,g,61
"proteina, total",2.1,g,155
agua (humedad),9.1,g,155
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,155
carbohidratos,0.0971,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",62.3,g,155
"ácidos grasos, poliinsaturados totales",7.3,g,155
ácidos grasos saturados totales,12.8,g,155
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,150,mg,155
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,70.3333,ug,61
Vitamina D,0.6,ug,155
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,4.6,mg,155
"folato, total",16,ug,155
"equivalentes de niacina, totales",0,mg,155
riboflavina,0.06,mg,155
tiamina,0.04,mg,155
Vitamina B-12,1,ug,155
"Vitamina B-6, Total",0.04,mg,155
Vitamina C (ácido ascórbico),1,mg,155
Minerales,,,
calcio,19,mg,155
"hierro, total",1.2,mg,155
potasio,25,mg,61
magnesio,7,mg,155
sodio,330,mg,155
fósforo,61,mg,155
ioduro,35,ug,38
"selenio, total",0,ug,38
zinc (cinc),0.5,mg,155
