Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","345 (83)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.9,g,32
"proteina, total",12,g,32
agua (humedad),85.1,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,2,g,32
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.49,g,32
"ácidos grasos, poliinsaturados totales",0.71,g,32
ácidos grasos saturados totales,0.46,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,32
Vitamina D,traza,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.2,mg,32
"folato, total",27,ug,327
"equivalentes de niacina, totales",3,mg,32
riboflavina,0.14,mg,32
tiamina,0.1,mg,32
Vitamina B-12,10.2,ug,327
"Vitamina B-6, Total",0.08,mg,327
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,80,mg,32
"hierro, total",4.5,mg,32
potasio,320,mg,32
magnesio,23,mg,32
sodio,290,mg,7
fósforo,189,mg,327
ioduro,40,ug,7
"selenio, total",57.2,ug,327
zinc (cinc),1.8,mg,7
