Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1131 (272)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.76,g,30
"proteina, total",3.6,g,30
agua (humedad),26.1,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",8.2,g,30
carbohidratos,61.3,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.28,g,30
"ácidos grasos, poliinsaturados totales",0.37,g,30
ácidos grasos saturados totales,0.08,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,74.2,ug,7
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,30
"folato, total",14,ug,29
"equivalentes de niacina, totales",5.3,mg,7
riboflavina,0.21,mg,30
tiamina,0,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.07,mg,30
Vitamina C (ácido ascórbico),4.8,mg,30
Minerales,,,
calcio,36,mg,29
"hierro, total",6.8,mg,29
potasio,1100,mg,29
magnesio,54,mg,29
sodio,6,mg,29
fósforo,120,mg,29
ioduro,23,ug,29
"selenio, total",2.2,ug,30
zinc (cinc),0.8,mg,29
