Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","182 (44)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.73,g,30
"proteina, total",3.8,g,29
agua (humedad),-,-,-
Hidratos de Carbono,,,
"fibra, dietetica total",6.8,g,30
carbohidratos,5.3,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,30
"ácidos grasos, poliinsaturados totales",0.39,g,30
ácidos grasos saturados totales,0.19,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,123.33,ug,7
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5,mg,29
"folato, total",110,ug,29
"equivalentes de niacina, totales",1.1,mg,29
riboflavina,0.33,mg,29
tiamina,0.12,mg,29
Vitamina B-12,0,ug,29
"Vitamina B-6, Total",0.16,mg,30
Vitamina C (ácido ascórbico),31,mg,29
Minerales,,,
calcio,210,mg,29
"hierro, total",9.5,mg,29
potasio,260,mg,29
magnesio,63,mg,28
sodio,15,mg,29
fósforo,75,mg,29
ioduro,3,ug,32
"selenio, total",-,-,-
zinc (cinc),1.09,mg,28
