Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","353 (85)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.8775,g,179
"proteina, total",16.7033,g,179
agua (humedad),82.0167,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.5185,g,179
"ácidos grasos, poliinsaturados totales",0.7719,g,179
ácidos grasos saturados totales,0.4271,g,179
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,59.6,mg,151
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,151
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.42,mg,151
"folato, total",14.3,ug,151
"equivalentes de niacina, totales",3.2,mg,284
riboflavina,0.12,mg,151
tiamina,0.05,mg,151
Vitamina B-12,1,ug,151
"Vitamina B-6, Total",0.16,mg,151
Vitamina C (ácido ascórbico),0,mg,280
Minerales,,,
calcio,25.4,mg,151
"hierro, total",0.77,mg,151
potasio,270,mg,61
magnesio,19.4,mg,151
sodio,100,mg,61
fósforo,190,mg,61
ioduro,4,ug,280
"selenio, total",42.6,ug,280
zinc (cinc),0.27,mg,151
