Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1006 (242)
							",kJ (kcal),236
"grasa, total (lipidos totales)",traza,g,7
"proteina, total",0.5,g,7
agua (humedad),40.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1.1,g,30
carbohidratos,58.7,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",traza,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,traza,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),traza,g,30
colesterol,0,mg,7
ácido graso 18:2,0,g,30
ácido graso 18:3,0,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,327
Vitamina D,0,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,30
"folato, total",11,ug,30
"equivalentes de niacina, totales",0.036,mg,30
riboflavina,0.076,mg,30
tiamina,0.016,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.02,mg,30
Vitamina C (ácido ascórbico),20.6,mg,7
Minerales,,,
calcio,20,mg,30
"hierro, total",0.49,mg,30
potasio,77,mg,30
magnesio,4,mg,30
sodio,32,mg,30
fósforo,19,mg,30
ioduro,2.3,ug,280
"selenio, total",2,ug,30
zinc (cinc),0.06,mg,30
