Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,282
"energía, total","2966 (712)
							",kJ (kcal),236
"grasa, total (lipidos totales)",78.9,g,282
"proteina, total",0.94,g,282
agua (humedad),30.3,g,282
Hidratos de Carbono,,,
"fibra, dietetica total",0.16,g,282
carbohidratos,1.78,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",49.52,g,282
"ácidos grasos, poliinsaturados totales",7.9,g,282
ácidos grasos saturados totales,10,g,282
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.8,ug,282
Vitamina D,0,ug,310
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,4.02,mg,282
"folato, total",1.28,ug,282
"equivalentes de niacina, totales",0.27,mg,282
riboflavina,traza,mg,282
tiamina,0.015,mg,282
Vitamina B-12,0,ug,282
"Vitamina B-6, Total",0.042,mg,282
Vitamina C (ácido ascórbico),4.94,mg,282
Minerales,,,
calcio,3.97,mg,282
"hierro, total",0.58,mg,282
potasio,78.15,mg,282
magnesio,4.84,mg,282
sodio,2.2,mg,282
fósforo,21.9,mg,282
ioduro,0.33,ug,282
"selenio, total",0.21,ug,282
zinc (cinc),0.12,mg,282
