Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","691 (166)
							",kJ (kcal),236
"grasa, total (lipidos totales)",9.4,g,7
"proteina, total",4.4,g,7
agua (humedad),70.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,15.8,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",-,-,-
"ácidos grasos, poliinsaturados totales",-,-,-
ácidos grasos saturados totales,-,-,-
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,-,-,-
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,45.9,ug,7
Vitamina D,0.23,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",4.1,ug,7
"equivalentes de niacina, totales",-,-,-
riboflavina,0.16,mg,7
tiamina,-,-,-
Vitamina B-12,0.25,ug,7
"Vitamina B-6, Total",0.09,mg,7
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,127,mg,7
"hierro, total",0.1,mg,7
potasio,159,mg,7
magnesio,13,mg,7
sodio,46,mg,7
fósforo,95,mg,7
ioduro,-,-,-
"selenio, total",-,-,-
zinc (cinc),0.35,mg,7
