Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1597 (383)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11,g,38
"proteina, total",9,g,38
agua (humedad),11,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",8,g,38
carbohidratos,61,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.39,g,38
"ácidos grasos, poliinsaturados totales",1.77,g,38
ácidos grasos saturados totales,2.5,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,164,ug,38
Vitamina D,4.25,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.9,mg,38
"folato, total",200.9,ug,38
"equivalentes de niacina, totales",6.8,mg,38
riboflavina,0.6,mg,38
tiamina,0.8,mg,38
Vitamina B-12,0.85,ug,38
"Vitamina B-6, Total",1.7,mg,38
Vitamina C (ácido ascórbico),51,mg,38
Minerales,,,
calcio,50,mg,38
"hierro, total",6.6,mg,38
potasio,400,mg,38
magnesio,70,mg,38
sodio,200,mg,38
fósforo,250,mg,38
ioduro,5,ug,38
"selenio, total",17.3,ug,38
zinc (cinc),1.5,mg,38
