Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","840 (202)
							",kJ (kcal),236
"grasa, total (lipidos totales)",19.9894,g,61
"proteina, total",2.51,g,148
agua (humedad),73.9,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,180
carbohidratos,3.4,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.7,g,180
"ácidos grasos, poliinsaturados totales",0.49,g,180
ácidos grasos saturados totales,12.7,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,70,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,196.667,ug,61
Vitamina D,0.7,ug,148
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.5,mg,180
"folato, total",traza,ug,61
"equivalentes de niacina, totales",0.07,mg,180
riboflavina,0.5,mg,180
tiamina,0.03,mg,180
Vitamina B-12,0.25,ug,180
"Vitamina B-6, Total",0.02,mg,180
Vitamina C (ácido ascórbico),1,mg,180
Minerales,,,
calcio,94,mg,180
"hierro, total",0.2,mg,61
potasio,130,mg,180
magnesio,9,mg,180
sodio,45,mg,180
fósforo,65,mg,180
ioduro,2.9,ug,38
"selenio, total",traza,ug,38
zinc (cinc),0.2,mg,61
