Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1269 (304)
							",kJ (kcal),236
"grasa, total (lipidos totales)",31.7,g,38
"proteina, total",2.36,g,38
agua (humedad),62.7,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,3.27,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.71,g,38
"ácidos grasos, poliinsaturados totales",0.82,g,38
ácidos grasos saturados totales,17.72,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,109,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,339,ug,38
Vitamina D,1.1,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.712,mg,38
"folato, total",4,ug,38
"equivalentes de niacina, totales",0.617,mg,38
riboflavina,0.15,mg,38
tiamina,0.025,mg,38
Vitamina B-12,0.4,ug,38
"Vitamina B-6, Total",0.036,mg,38
Vitamina C (ácido ascórbico),1,mg,38
Minerales,,,
calcio,80,mg,38
"hierro, total",0.03,mg,38
potasio,112,mg,38
magnesio,10,mg,38
sodio,34,mg,38
fósforo,63,mg,38
ioduro,2.4,ug,38
"selenio, total",1,ug,38
zinc (cinc),0.26,mg,38
