Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2477 (595)
							",kJ (kcal),236
"grasa, total (lipidos totales)",63.28,g,310
"proteina, total",14,g,258
agua (humedad),18.5,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",5.2,g,258
carbohidratos,3.3,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.04,g,310
"ácidos grasos, monoinsaturados totales",12.13,g,310
"ácidos grasos, poliinsaturados totales",43.7,g,310
ácidos grasos saturados totales,7.42,g,310
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0.03,g,310
ácido graso 16:0 (ácido palmítico),6.25,g,310
ácido graso 18:0 (ácido esteárico),2.9,g,310
ácido graso 18:1 n-9 cis (ácido oléico),13.13,g,310
colesterol,0,mg,258
ácido graso 18:2,36.77,g,310
ácido graso 18:3,1.48,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0.03,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.8,mg,258
"folato, total",66,ug,32
"equivalentes de niacina, totales",3.5,mg,258
riboflavina,0.12,mg,258
tiamina,0.3,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.73,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,77,mg,258
"hierro, total",2.3,mg,258
potasio,690,mg,258
magnesio,140,mg,258
sodio,3,mg,258
fósforo,304,mg,258
ioduro,9,ug,258
"selenio, total",19,ug,258
zinc (cinc),2.1,mg,258
