Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1740 (418)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10.3,g,258
"proteina, total",11,g,258
agua (humedad),9.93,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",42.8,g,280
carbohidratos,68.92,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.7,g,280
"ácidos grasos, poliinsaturados totales",5.2,g,280
ácidos grasos saturados totales,2.7,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,690,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,18.9,mg,280
"folato, total",0,ug,32
"equivalentes de niacina, totales",6.2,mg,258
riboflavina,0.528,mg,30
tiamina,0.177,mg,30
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",1.044,mg,30
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,1580,mg,258
"hierro, total",44,mg,258
potasio,1670,mg,258
magnesio,270,mg,258
sodio,15,mg,258
fósforo,200,mg,258
ioduro,-,-,-
"selenio, total",5.9,ug,258
zinc (cinc),4.4,mg,258
