Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","2232 (536)
							",kJ (kcal),236
"grasa, total (lipidos totales)",30,g,38
"proteina, total",5,g,38
agua (humedad),1.6,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",2.4,g,38
carbohidratos,61,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",11.51,g,38
"ácidos grasos, poliinsaturados totales",2.33,g,38
ácidos grasos saturados totales,15.24,g,38
ácido graso 12:0 (láurico),0.01,g,304
ácido graso 14:0 (ácido mirístico),0.05,g,304
ácido graso 16:0 (ácido palmítico),2.273,g,304
ácido graso 18:0 (ácido esteárico),0.231,g,304
ácido graso 18:1 n-9 cis (ácido oléico),1.272,g,304
colesterol,92,mg,38
ácido graso 18:2,0.736,g,304
ácido graso 18:3,0.006,g,304
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,120,ug,38
Vitamina D,0.92,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,4.8,mg,38
"folato, total",17.2,ug,38
"equivalentes de niacina, totales",0.8,mg,38
riboflavina,0.03,mg,38
tiamina,0.03,mg,38
Vitamina B-12,1.1,ug,38
"Vitamina B-6, Total",0.07,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,11,mg,38
"hierro, total",2,mg,38
potasio,76,mg,38
magnesio,11,mg,38
sodio,431,mg,38
fósforo,50,mg,38
ioduro,10,ug,38
"selenio, total",16.2,ug,38
zinc (cinc),0.4,mg,38
