Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","525 (126)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.8,g,297
"proteina, total",20,g,32
agua (humedad),75,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,traza,g,32
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.331,g,297
"ácidos grasos, monoinsaturados totales",0.4,g,297
"ácidos grasos, poliinsaturados totales",0.43,g,297
ácidos grasos saturados totales,0.79,g,297
ácido graso 12:0 (láurico),0.002,g,297
ácido graso 14:0 (ácido mirístico),0.087,g,297
ácido graso 16:0 (ácido palmítico),0.412,g,297
ácido graso 18:0 (ácido esteárico),0.184,g,297
ácido graso 18:1 n-9 cis (ácido oléico),0.25,g,297
colesterol,79,mg,32
ácido graso 18:2,0.001,g,297
ácido graso 18:3,0.002,g,297
ácido graso 20:4 n-6  (ácido araquidónico),0.038,g,297
ácido graso 20:5 (ácido eicosapentaenóico),0.035,g,297
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,36,ug,32
Vitamina D,16,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.6,mg,32
"folato, total",1.2,ug,32
"equivalentes de niacina, totales",9,mg,32
riboflavina,0.08,mg,32
tiamina,0.05,mg,32
Vitamina B-12,10,ug,32
"Vitamina B-6, Total",0.63,mg,32
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,25,mg,32
"hierro, total",0.7,mg,32
potasio,430,mg,7
magnesio,28,mg,32
sodio,110,mg,7
fósforo,250,mg,7
ioduro,48,ug,32
"selenio, total",45,ug,32
zinc (cinc),0.5,mg,32
