Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1429 (343)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.2,g,149
"proteina, total",12,g,149
agua (humedad),4.1,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",15,g,149
carbohidratos,62.9,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.1,g,149
"ácidos grasos, poliinsaturados totales",1.9,g,149
ácidos grasos saturados totales,0.6,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),3.476,g,322
ácido graso 18:0 (ácido esteárico),1.222,g,322
ácido graso 18:1 n-9 cis (ácido oléico),13.79,g,322
colesterol,0,mg,61
ácido graso 18:2,19.558,g,322
ácido graso 18:3,0.076,g,322
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,20,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,11,mg,149
"folato, total",23,ug,149
"equivalentes de niacina, totales",2,mg,149
riboflavina,0.2,mg,149
tiamina,0.2,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.2,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,10,mg,149
"hierro, total",2.7,mg,149
potasio,301,mg,149
magnesio,106,mg,149
sodio,4,mg,149
fósforo,300,mg,149
ioduro,2,ug,38
"selenio, total",7.3,ug,38
zinc (cinc),1.7,mg,154
