Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","1085 (260)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.6,g,281
"proteina, total",8.82,g,281
agua (humedad),34.4,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",3.5,g,281
carbohidratos,51.5,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.28,g,281
"ácidos grasos, poliinsaturados totales",0.34,g,281
ácidos grasos saturados totales,0.39,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,traza,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,281
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,281
"folato, total",9,ug,281
"equivalentes de niacina, totales",3.1,mg,281
riboflavina,0.04,mg,281
tiamina,0.15,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.05,mg,281
Vitamina C (ácido ascórbico),0,mg,281
Minerales,,,
calcio,54.88,mg,281
"hierro, total",89.18,mg,281
potasio,107.8,mg,281
magnesio,24.6,mg,281
sodio,509.6,mg,281
fósforo,89.18,mg,281
ioduro,3.92,ug,281
"selenio, total",traza,ug,281
zinc (cinc),0.59,mg,281
