Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","828 (199)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.1,g,7
"proteina, total",6.4,g,7
agua (humedad),52.6,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",4.6,g,280
carbohidratos,39.9,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,280
"ácidos grasos, poliinsaturados totales",0.7,g,280
ácidos grasos saturados totales,0.5,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,2,mg,280
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3.8,ug,280
Vitamina D,0.3,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.8,mg,280
"folato, total",47.3,ug,280
"equivalentes de niacina, totales",5.2,mg,280
riboflavina,0.06,mg,7
tiamina,0.15,mg,7
Vitamina B-12,0.1,ug,280
"Vitamina B-6, Total",0.1,mg,280
Vitamina C (ácido ascórbico),0.2,mg,280
Minerales,,,
calcio,3.7,mg,7
"hierro, total",0.3,mg,7
potasio,61.2,mg,7
magnesio,9.7,mg,7
sodio,1.5,mg,7
fósforo,93.2,mg,7
ioduro,21.4,ug,280
"selenio, total",7.3,ug,280
zinc (cinc),2.4,mg,280
