Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","921 (221)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1,g,38
"proteina, total",6.21,g,38
agua (humedad),40.5,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",6.46,g,38
carbohidratos,45.8,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,38
"ácidos grasos, poliinsaturados totales",0.5,g,38
ácidos grasos saturados totales,0.101,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.1,mg,38
"folato, total",16,ug,38
"equivalentes de niacina, totales",3.02,mg,38
riboflavina,0.11,mg,38
tiamina,0.18,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.09,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,29,mg,38
"hierro, total",2.4,mg,38
potasio,244,mg,38
magnesio,35,mg,38
sodio,523,mg,38
fósforo,119,mg,38
ioduro,8.5,ug,38
"selenio, total",30.9,ug,38
zinc (cinc),1.2,mg,38
