Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1310 (314)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10,g,30
"proteina, total",7.2,g,30
agua (humedad),32.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",2.4,g,30
carbohidratos,48.1,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.1,g,30
"ácidos grasos, poliinsaturados totales",1.2,g,30
ácidos grasos saturados totales,1.76,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,61,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,44,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.85,mg,30
"folato, total",55,ug,30
"equivalentes de niacina, totales",1.5,mg,7
riboflavina,0.27,mg,30
tiamina,0.24,mg,30
Vitamina B-12,0.16,ug,30
"Vitamina B-6, Total",0.1,mg,30
Vitamina C (ácido ascórbico),0.8,mg,30
Minerales,,,
calcio,73,mg,30
"hierro, total",1.9,mg,30
potasio,128,mg,30
magnesio,20,mg,30
sodio,778,mg,30
fósforo,376,mg,30
ioduro,80,ug,38
"selenio, total",9.9,ug,30
zinc (cinc),0.63,mg,30
