Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1110 (266)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.7,g,38
"proteina, total",7.54,g,38
agua (humedad),36.2,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",4.1,g,38
carbohidratos,47.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.4,g,38
"ácidos grasos, poliinsaturados totales",1.3082,g,38
ácidos grasos saturados totales,1,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.01,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.26,mg,38
"folato, total",26,ug,38
"equivalentes de niacina, totales",2.49,mg,38
riboflavina,0.14,mg,38
tiamina,0.32,mg,38
Vitamina B-12,0.91,ug,38
"Vitamina B-6, Total",0.1,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,210.5,mg,38
"hierro, total",2.3,mg,38
potasio,110,mg,38
magnesio,34.03,mg,38
sodio,550,mg,38
fósforo,150,mg,38
ioduro,2.6,ug,38
"selenio, total",28,ug,38
zinc (cinc),1.84,mg,38
