Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1271 (305)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,258
"proteina, total",10.1,g,258
agua (humedad),23.7,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",4.5,g,258
carbohidratos,59.2,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.6,g,38
"ácidos grasos, poliinsaturados totales",0.9,g,38
ácidos grasos saturados totales,0.6,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,38
"folato, total",46,ug,38
"equivalentes de niacina, totales",3.4,mg,258
riboflavina,0.15,mg,258
tiamina,0.23,mg,258
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.09,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,85,mg,258
"hierro, total",3.2,mg,38
potasio,100,mg,258
magnesio,28,mg,258
sodio,640,mg,38
fósforo,100,mg,258
ioduro,traza,ug,38
"selenio, total",33.6,ug,258
zinc (cinc),0.6,mg,258
