Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1471 (353)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.4478,g,61
"proteina, total",12.5,g,149
agua (humedad),9.5,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",5,g,149
carbohidratos,70.9,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.15,g,149
"ácidos grasos, poliinsaturados totales",0.63,g,149
ácidos grasos saturados totales,0.19,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,149
"folato, total",28,ug,149
"equivalentes de niacina, totales",2.5,mg,149
riboflavina,0.04,mg,149
tiamina,0.15,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.08,mg,149
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,24,mg,149
"hierro, total",1.8,mg,149
potasio,236,mg,149
magnesio,55,mg,149
sodio,5,mg,149
fósforo,167,mg,149
ioduro,10,ug,38
"selenio, total",62.2,ug,38
zinc (cinc),1.5,mg,154
