Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1446 (347)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,29
"proteina, total",13.4,g,29
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",11.5,g,29
carbohidratos,66.2,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,29
"ácidos grasos, poliinsaturados totales",1.1,g,29
ácidos grasos saturados totales,0.4,g,29
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,29
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.25,mg,38
"folato, total",0,ug,30
"equivalentes de niacina, totales",6.2,mg,30
riboflavina,0.14,mg,30
tiamina,0.49,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.22,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,40,mg,30
"hierro, total",3.63,mg,30
potasio,215,mg,30
magnesio,143,mg,30
sodio,8,mg,30
fósforo,258,mg,30
ioduro,1.9,ug,32
"selenio, total",73,ug,30
zinc (cinc),2.37,mg,30
