Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","420 (101)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.3682,g,61
"proteina, total",4.7,g,180
agua (humedad),77.2,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",1.8,g,180
carbohidratos,12.7,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.6,g,180
"ácidos grasos, poliinsaturados totales",0.32,g,180
ácidos grasos saturados totales,1.3,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,23,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,25,ug,61
Vitamina D,0.1,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.3,mg,180
"folato, total",10,ug,180
"equivalentes de niacina, totales",1.6,mg,180
riboflavina,0.06,mg,180
tiamina,0.12,mg,180
Vitamina B-12,traza,ug,61
"Vitamina B-6, Total",0.2,mg,180
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,20,mg,180
"hierro, total",1.3,mg,180
potasio,163,mg,180
magnesio,18,mg,180
sodio,444,mg,180
fósforo,70,mg,180
ioduro,10,ug,38
"selenio, total",20,ug,38
zinc (cinc),0.5,mg,180
