Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,7
"energía, total","1450 (348)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.3,g,7
"proteina, total",8.9,g,7
agua (humedad),27,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",,g,7
carbohidratos,58.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",,g,7
"ácidos grasos, poliinsaturados totales",1.29,g,7
ácidos grasos saturados totales,,g,7
ácido graso 12:0 (láurico),1.33,g,303
ácido graso 14:0 (ácido mirístico),0.622,g,303
ácido graso 16:0 (ácido palmítico),6.945,g,303
ácido graso 18:0 (ácido esteárico),2.331,g,303
ácido graso 18:1 n-9 cis (ácido oléico),9.099,g,303
colesterol,20,mg,7
ácido graso 18:2,1.984,g,303
ácido graso 18:3,0.082,g,303
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,,mg,7
"folato, total",40,ug,7
"equivalentes de niacina, totales",3.8,mg,7
riboflavina,0.17,mg,7
tiamina,0.2,mg,7
Vitamina B-12,traza,ug,7
"Vitamina B-6, Total",0.06,mg,7
Vitamina C (ácido ascórbico),traza,mg,7
Minerales,,,
calcio,98,mg,7
"hierro, total",2.9,mg,7
potasio,240,mg,7
magnesio,32,mg,7
sodio,300,mg,7
fósforo,110,mg,7
ioduro,,ug,7
"selenio, total",,ug,7
zinc (cinc),0.8,mg,7
