Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,258
"energía, total","1672 (401)
							",kJ (kcal),236
"grasa, total (lipidos totales)",20.2,g,258
"proteina, total",5.2,g,258
agua (humedad),24.2,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",1.2,g,258
carbohidratos,49.2,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.25,g,258
"ácidos grasos, poliinsaturados totales",1.21,g,258
ácidos grasos saturados totales,7.38,g,258
ácido graso 12:0 (láurico),0.173,g,326
ácido graso 14:0 (ácido mirístico),1.503,g,326
ácido graso 16:0 (ácido palmítico),4.585,g,326
ácido graso 18:0 (ácido esteárico),1.51,g,326
ácido graso 18:1 n-9 cis (ácido oléico),2.747,g,326
colesterol,,mg,258
ácido graso 18:2,0.718,g,326
ácido graso 18:3,0.087,g,326
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,220,ug,61
Vitamina D,1,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,,mg,258
"folato, total",6,ug,32
"equivalentes de niacina, totales",1.5,mg,258
riboflavina,0.08,mg,258
tiamina,0.03,mg,258
Vitamina B-12,traza,ug,258
"Vitamina B-6, Total",,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,48,mg,258
"hierro, total",1.2,mg,258
potasio,,mg,258
magnesio,16,mg,258
sodio,,mg,258
fósforo,,mg,258
ioduro,,ug,258
"selenio, total",,ug,258
zinc (cinc),0.4,mg,258
