Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1208 (290)
							",kJ (kcal),236
"grasa, total (lipidos totales)",17.125,g,61
"proteina, total",3.8,g,149
agua (humedad),46,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",3,g,149
carbohidratos,30,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.23,g,61
"ácidos grasos, poliinsaturados totales",8.81,g,61
ácidos grasos saturados totales,1.66,g,61
ácido graso 12:0 (láurico),0.0816,g,322
ácido graso 14:0 (ácido mirístico),0.2856,g,322
ácido graso 16:0 (ácido palmítico),5.692,g,322
ácido graso 18:0 (ácido esteárico),2.754,g,322
ácido graso 18:1 n-9 cis (ácido oléico),6.161,g,322
colesterol,0,mg,61
ácido graso 18:2,0.918,g,322
ácido graso 18:3,0.0408,g,322
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,149
"folato, total",40,ug,149
"equivalentes de niacina, totales",1.6,mg,149
riboflavina,0.04,mg,149
tiamina,0.12,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.19,mg,149
Vitamina C (ácido ascórbico),12,mg,149
Minerales,,,
calcio,15,mg,149
"hierro, total",0.9,mg,149
potasio,700,mg,149
magnesio,35,mg,149
sodio,10,mg,149
fósforo,73,mg,149
ioduro,1,ug,280
"selenio, total",0.6,ug,280
zinc (cinc),0.6,mg,61
