Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","313 (75)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,281
"proteina, total",2.38,g,281
agua (humedad),79.39,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",1.8,g,281
carbohidratos,15.62,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,281
"ácidos grasos, poliinsaturados totales",0.11,g,281
ácidos grasos saturados totales,0.05,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,310
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.05,mg,281
"folato, total",8.33,ug,281
"equivalentes de niacina, totales",1.07,mg,281
riboflavina,0.03,mg,281
tiamina,0.08,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.19,mg,281
Vitamina C (ácido ascórbico),12.15,mg,281
Minerales,,,
calcio,6.84,mg,281
"hierro, total",0.68,mg,281
potasio,413.25,mg,281
magnesio,15.92,mg,281
sodio,7.25,mg,281
fósforo,47.5,mg,281
ioduro,3.5,ug,281
"selenio, total",1.31,ug,281
zinc (cinc),0.24,mg,281
