Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1914 (459)
							",kJ (kcal),236
"grasa, total (lipidos totales)",22.25,g,179
"proteina, total",7.05,g,179
agua (humedad),1.1,g,154
Hidratos de Carbono,,,
"fibra, dietetica total",8.85,g,179
carbohidratos,57.0991,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.1812,g,154
"ácidos grasos, poliinsaturados totales",6.7494,g,154
ácidos grasos saturados totales,6.3404,g,154
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.3333,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.77,mg,154
"folato, total",41,ug,154
"equivalentes de niacina, totales",5,mg,155
riboflavina,0.14,mg,154
tiamina,0.19,mg,154
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.53,mg,154
Vitamina C (ácido ascórbico),14,mg,154
Minerales,,,
calcio,36,mg,154
"hierro, total",1.8,mg,154
potasio,1060,mg,154
magnesio,48,mg,154
sodio,885,mg,179
fósforo,130,mg,154
ioduro,2.6,ug,38
"selenio, total",8.1,ug,38
zinc (cinc),0.9,mg,154
