Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","789 (189)
							",kJ (kcal),236
"grasa, total (lipidos totales)",9.8413,g,61
"proteina, total",25,g,149
agua (humedad),64.2,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",5.4,g,149
"ácidos grasos, poliinsaturados totales",1.2,g,149
ácidos grasos saturados totales,2.7,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,120,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,23.0017,ug,61
Vitamina D,1,ug,327
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.02,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",5.1,mg,149
riboflavina,0.47,mg,149
tiamina,0.26,mg,149
Vitamina B-12,1.2,ug,149
"Vitamina B-6, Total",0.25,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,13,mg,149
"hierro, total",2.7,mg,149
potasio,260,mg,149
magnesio,20,mg,149
sodio,85,mg,149
fósforo,200,mg,149
ioduro,1.2,ug,327
"selenio, total",24,ug,327
zinc (cinc),0.31,mg,180
