Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","575 (138)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.5,g,29
"proteina, total",19.7,g,29
agua (humedad),73.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,29
carbohidratos,0,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.2,g,29
"ácidos grasos, poliinsaturados totales",1,g,29
ácidos grasos saturados totales,2,g,29
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,110,mg,29
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,24,ug,30
Vitamina D,1,ug,327
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.02,mg,156
"folato, total",25,ug,156
"equivalentes de niacina, totales",5.3,mg,156
riboflavina,0.3,mg,7
tiamina,0.1,mg,7
Vitamina B-12,3,ug,30
"Vitamina B-6, Total",0.34,mg,156
Vitamina C (ácido ascórbico),3,mg,7
Minerales,,,
calcio,10,mg,7
"hierro, total",2,mg,7
potasio,280,mg,7
magnesio,15,mg,7
sodio,80,mg,7
fósforo,200,mg,7
ioduro,1.2,ug,327
"selenio, total",13.9,ug,30
zinc (cinc),2.8,mg,7
