Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","658 (158)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.5,g,38
"proteina, total",20.18,g,38
agua (humedad),71.3,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.987,g,38
"ácidos grasos, poliinsaturados totales",2.435,g,38
ácidos grasos saturados totales,2.173,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,74,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,13,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,38
"folato, total",16,ug,38
"equivalentes de niacina, totales",10.567,mg,38
riboflavina,0.18,mg,38
tiamina,0.1,mg,38
Vitamina B-12,2,ug,38
"Vitamina B-6, Total",0.46,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,15,mg,38
"hierro, total",0.98,mg,38
potasio,247,mg,38
magnesio,20,mg,38
sodio,63,mg,38
fósforo,175,mg,38
ioduro,2,ug,38
"selenio, total",28.6,ug,38
zinc (cinc),2.4,mg,38
