Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","606 (145)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.6455,g,61
"proteina, total",29.9,g,180
agua (humedad),66.9,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.6,g,180
"ácidos grasos, poliinsaturados totales",0.9,g,180
ácidos grasos saturados totales,1,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,69,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.0017,ug,61
Vitamina D,0,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,180
"folato, total",8,ug,180
"equivalentes de niacina, totales",6.8,mg,180
riboflavina,0.13,mg,180
tiamina,0.06,mg,180
Vitamina B-12,0.37,ug,180
"Vitamina B-6, Total",0.54,mg,180
Vitamina C (ácido ascórbico),0,mg,180
Minerales,,,
calcio,11,mg,180
"hierro, total",1.4,mg,180
potasio,267,mg,180
magnesio,21,mg,180
sodio,156,mg,180
fósforo,170,mg,180
ioduro,2,ug,38
"selenio, total",22.4,ug,38
zinc (cinc),2.1,mg,180
