Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","66 (16)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.1,g,38
"proteina, total",1.04,g,38
agua (humedad),91.7,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",1.2,g,38
carbohidratos,2.6,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.002,g,38
"ácidos grasos, poliinsaturados totales",0.04,g,38
ácidos grasos saturados totales,0.03,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,13,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.16,mg,38
"folato, total",6,ug,38
"equivalentes de niacina, totales",0.2,mg,38
riboflavina,0.022,mg,38
tiamina,0.003,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.38,mg,38
Vitamina C (ácido ascórbico),1,mg,38
Minerales,,,
calcio,30,mg,38
"hierro, total",1.6,mg,38
potasio,110,mg,38
magnesio,11,mg,38
sodio,960,mg,38
fósforo,30,mg,38
ioduro,0,ug,38
"selenio, total",0,ug,38
zinc (cinc),0.3,mg,38
