Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","408 (98)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.1,g,61
"proteina, total",21.6,g,180
agua (humedad),77.4,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.17,g,180
"ácidos grasos, poliinsaturados totales",0.4,g,180
ácidos grasos saturados totales,0.2,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,93,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3.0017,ug,61
Vitamina D,0.01,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.01,mg,180
"folato, total",3,ug,180
"equivalentes de niacina, totales",0.01,mg,180
riboflavina,0.12,mg,180
tiamina,0.06,mg,180
Vitamina B-12,0.01,ug,180
"Vitamina B-6, Total",0.01,mg,180
Vitamina C (ácido ascórbico),0,mg,180
Minerales,,,
calcio,60,mg,180
"hierro, total",1.1,mg,180
potasio,290,mg,180
magnesio,32,mg,180
sodio,73,mg,180
fósforo,227,mg,180
ioduro,18,ug,280
"selenio, total",16.1,ug,30
zinc (cinc),0.3,mg,180
