Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","145 (35)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.3,g,258
"proteina, total",3,g,258
agua (humedad),88,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",5,g,258
carbohidratos,2.7,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,280
"ácidos grasos, poliinsaturados totales",traza,g,280
ácidos grasos saturados totales,traza,g,280
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,673,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.7,mg,258
"folato, total",170,ug,32
"equivalentes de niacina, totales",1.5,mg,258
riboflavina,0.05,mg,258
tiamina,0.23,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.09,mg,258
Vitamina C (ácido ascórbico),190,mg,258
Minerales,,,
calcio,200,mg,258
"hierro, total",7.7,mg,258
potasio,760,mg,258
magnesio,23,mg,258
sodio,33,mg,258
fósforo,64,mg,258
ioduro,6,ug,280
"selenio, total",1.4,ug,258
zinc (cinc),0.7,mg,258
