Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","739 (177)
							",kJ (kcal),236
"grasa, total (lipidos totales)",10.2857,g,61
"proteina, total",18.1,g,149
agua (humedad),67,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0.1,g,61
carbohidratos,3,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3,g,149
"ácidos grasos, poliinsaturados totales",2.7,g,149
ácidos grasos saturados totales,1.5,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,110,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,traza,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,61
"folato, total",13,ug,149
"equivalentes de niacina, totales",1.9,mg,149
riboflavina,0.06,mg,149
tiamina,0.07,mg,149
Vitamina B-12,1,ug,61
"Vitamina B-6, Total",0.22,mg,61
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,48,mg,149
"hierro, total",0.7,mg,149
potasio,320,mg,149
magnesio,33,mg,149
sodio,130,mg,149
fósforo,260,mg,149
ioduro,10,ug,32
"selenio, total",15,ug,32
zinc (cinc),0.38,mg,61
