Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","331 (79)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1,g,7
"proteina, total",2.8,g,7
agua (humedad),81.6,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.1,g,7
carbohidratos,14.5,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,7
"ácidos grasos, poliinsaturados totales",0,g,7
ácidos grasos saturados totales,0.6,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),1.545,g,326
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,2.5,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,9.9,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,7
"folato, total",1.7,ug,7
"equivalentes de niacina, totales",0.1,mg,7
riboflavina,0.17,mg,7
tiamina,0.03,mg,7
Vitamina B-12,0.17,ug,7
"Vitamina B-6, Total",0.02,mg,7
Vitamina C (ácido ascórbico),0.2,mg,7
Minerales,,,
calcio,102,mg,7
"hierro, total",0.1,mg,7
potasio,126,mg,7
magnesio,10,mg,7
sodio,41,mg,7
fósforo,80,mg,7
ioduro,8,ug,7
"selenio, total",0.4,ug,7
zinc (cinc),0.3,mg,7
