Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","616 (148)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.71,g,281
"proteina, total",16.01,g,281
agua (humedad),73.98,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0.02,g,281
carbohidratos,1.28,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.14,g,281
"ácidos grasos, poliinsaturados totales",1.3,g,281
ácidos grasos saturados totales,1.57,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,36.45,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,43,ug,30
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.24,mg,281
"folato, total",2,ug,61
"equivalentes de niacina, totales",8.45,mg,281
riboflavina,0.05,mg,281
tiamina,0.05,mg,281
Vitamina B-12,4.67,ug,281
"Vitamina B-6, Total",0.48,mg,281
Vitamina C (ácido ascórbico),0.2,mg,281
Minerales,,,
calcio,20.02,mg,281
"hierro, total",0.91,mg,281
potasio,332.94,mg,281
magnesio,54.5,mg,281
sodio,95.81,mg,281
fósforo,475.57,mg,281
ioduro,0.56,ug,281
"selenio, total",0,ug,281
zinc (cinc),0.4,mg,281
