Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","2843 (682)
							",kJ (kcal),236
"grasa, total (lipidos totales)",68.6,g,38
"proteina, total",14,g,38
agua (humedad),2.74,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",8.5,g,38
carbohidratos,3.9,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,310
"ácidos grasos, monoinsaturados totales",19.9,g,38
"ácidos grasos, poliinsaturados totales",41.2,g,38
ácidos grasos saturados totales,4.6,g,38
ácido graso 12:0 (láurico),0,g,310
ácido graso 14:0 (ácido mirístico),0,g,310
ácido graso 16:0 (ácido palmítico),3.36,g,310
ácido graso 18:0 (ácido esteárico),1.87,g,310
ácido graso 18:1 n-9 cis (ácido oléico),18.3,g,310
colesterol,0,mg,38
ácido graso 18:2,26.66,g,310
ácido graso 18:3,0.46,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1.67,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,13.65,mg,38
"folato, total",58,ug,38
"equivalentes de niacina, totales",6.767,mg,38
riboflavina,0.19,mg,38
tiamina,0.73,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.11,mg,38
Vitamina C (ácido ascórbico),2,mg,38
Minerales,,,
calcio,11,mg,38
"hierro, total",5.6,mg,38
potasio,780,mg,38
magnesio,270,mg,38
sodio,1,mg,38
fósforo,650,mg,38
ioduro,0.2,ug,327
"selenio, total",2,ug,327
zinc (cinc),6.5,mg,38
